
Metrics : Accuracy, Turn-Sim, Trajectory-Sim, Post-Clarification-Sim.


Size   Conv  Method           Acc               TurnSim           TrajSim           PostSim
3B     100   Dyn-Beta     47.31+/-0.69  60.88+/-0.74     67.02+/-0.51     19.71+/-7.67
3B     100   Beta-Filt    47.69+/-0.50  58.97+/-0.59     66.15+/-0.18     16.75+/-7.05
3B     100   UC-ACT       49.23+/-0.47  59.14+/-0.51     68.16+/-0.86     45.11+/-8.82
3B     100   IPO          48.08+/-0.47  59.05+/-0.24     67.25+/-0.69     28.13+/-12.24
3B     100   SimPO        47.69+/-0.52  60.33+/-0.53     67.10+/-0.34      9.41+/-9.49
3B     100   ORPO         48.85+/-0.44  58.49+/-1.03     66.52+/-0.83     17.21+/-9.94

3B     150   SFT          46.92+/-0.84  56.19+/-0.59     63.88+/-0.19     31.35+/-6.39
3B     150   Vanilla-DPO  48.08+/-0.61  57.80+/-0.45     65.94+/-0.35     19.39+/-10.07
3B     150   Dyn-Beta     47.69+/-0.75  57.73+/-0.39     65.46+/-0.42     25.80+/-4.32
3B     150   Beta-Filt    48.46+/-0.27  57.67+/-0.76     65.24+/-1.05     35.11+/-13.66
3B     150   UC-ACT       48.85+/-0.47  57.94+/-0.74     65.96+/-0.18     21.80+/-7.23
3B     150   IPO          48.85+/-0.69  57.21+/-0.40     65.47+/-0.90      7.28+/-13.48
3B     150   SimPO        48.85+/-0.50  58.30+/-0.71     65.14+/-0.68     16.59+/-18.26
3B     150   ORPO         48.08+/-0.72  57.65+/-0.84     65.87+/-0.43      9.73+/-10.51
