Model_Size,Conversation_Setting,Method,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_F1,Trajectory_F1,Post_Clarification_F1
3B,100,SFT,42,0.84800000,0.83669718,0.70832950,0.50649351,0.42857143,0.61904762,0.64762000,0.70486000,0.49063492
3B,100,SFT,123,0.85800000,0.84697342,0.72606122,0.53594771,0.45054945,0.66129032,0.65272000,0.69284000,0.52354839
3B,100,SFT,1337,0.83000000,0.81790952,0.67551059,0.45161290,0.38461538,0.54687500,0.63544000,0.68524000,0.49109375
3B,100,SFT,2024,0.83000000,0.81565332,0.66848415,0.43708609,0.36263736,0.55000000,0.64194000,0.68258000,0.47616667
3B,100,Vanilla-DPO,7,0.82800000,0.81842738,0.68005952,0.46250000,0.40659341,0.53623188,0.64868000,0.68098000,0.46000000
3B,100,Vanilla-DPO,42,0.84600000,0.83404159,0.70291147,0.49673203,0.41758242,0.61290323,0.64416000,0.68294000,0.43612903
3B,100,Vanilla-DPO,123,0.85000000,0.83835220,0.71062805,0.50980392,0.42857143,0.62903226,0.64676000,0.68586000,0.46306452
3B,100,Vanilla-DPO,1337,0.84200000,0.83176321,0.70155118,0.49681529,0.42857143,0.59090909,0.63812000,0.67558000,0.42909091
3B,100,Vanilla-DPO,2024,0.83400000,0.82219401,0.68314564,0.46451613,0.39560440,0.56250000,0.64764000,0.68576000,0.49609375
3B,100,Dyn-Beta,7,0.82600000,0.81472657,0.67132851,0.44585987,0.38461538,0.53030303,0.64576000,0.68034000,0.46090909
3B,100,Dyn-Beta,42,0.84200000,0.82756681,0.68848335,0.46979866,0.38461538,0.60344828,0.64152000,0.69978000,0.47448276
3B,100,Dyn-Beta,123,0.84000000,0.82913112,0.69619638,0.48717949,0.41758242,0.58461538,0.64796000,0.69124000,0.48323077
3B,100,Dyn-Beta,1337,0.83800000,0.82849824,0.69712606,0.49056604,0.42857143,0.57352941,0.63752000,0.67518000,0.43470588
3B,100,Dyn-Beta,2024,0.82400000,0.80853961,0.65490196,0.41333333,0.34065934,0.52542373,0.64602000,0.67604000,0.43762712
3B,100,Conf-Filt,7,0.82000000,0.80889443,0.66174569,0.43037975,0.37362637,0.50746269,0.64536000,0.68286000,0.45970149
3B,100,Conf-Filt,42,0.83800000,0.82432846,0.68408490,0.46357616,0.38461538,0.58333333,0.65194000,0.69964000,0.50216667
3B,100,Conf-Filt,123,0.84200000,0.82866603,0.69188527,0.47682119,0.39560440,0.60000000,0.64838000,0.67928000,0.41716667
3B,100,Conf-Filt,1337,0.82800000,0.81738802,0.67677922,0.45569620,0.39560440,0.53731343,0.65052000,0.68406000,0.47283582
3B,100,Conf-Filt,2024,0.83400000,0.82110977,0.67976171,0.45751634,0.38461538,0.56451613,0.64642000,0.68160000,0.42274194
3B,100,UCP-Clarify,7,0.83200000,0.82058768,0.68100620,0.46153846,0.39560440,0.55384615,0.64790000,0.69078000,0.52200000
3B,100,UCP-Clarify,42,0.83200000,0.81839275,0.67415591,0.44736842,0.37362637,0.55737705,0.64450000,0.69594000,0.48868852
3B,100,UCP-Clarify,123,0.84000000,0.82810230,0.69297842,0.48051948,0.40659341,0.58730159,0.63936000,0.68682000,0.44238095
3B,100,UCP-Clarify,1337,0.84200000,0.82973098,0.69519488,0.48366013,0.40659341,0.59677419,0.63336000,0.67978000,0.43354839
3B,100,UCP-Clarify,2024,0.82200000,0.80817794,0.65661196,0.41830065,0.35164835,0.51612903,0.64672000,0.69536000,0.54274194
3B,100,IPO,7,0.83600000,0.82485940,0.68860129,0.47435897,0.40659341,0.56923077,0.64352000,0.67828000,0.43676923
3B,100,IPO,42,0.82000000,0.80998214,0.66517857,0.43750000,0.38461538,0.50724638,0.64412000,0.69738000,0.53840580
3B,100,IPO,123,0.82400000,0.81314122,0.66926246,0.44303797,0.38461538,0.52238806,0.63262000,0.67972000,0.45492537
3B,100,IPO,1337,0.83000000,0.81898573,0.67888418,0.45859873,0.39560440,0.54545455,0.64092000,0.68172000,0.47530303
3B,100,IPO,2024,0.83800000,0.82750405,0.69399551,0.48407643,0.41758242,0.57575758,0.63122000,0.69062000,0.52242424
3B,100,SimPO,7,0.84000000,0.82913112,0.69619638,0.48717949,0.41758242,0.58461538,0.64262000,0.68358000,0.51107692
3B,100,SimPO,42,0.83800000,0.82750405,0.69399551,0.48407643,0.41758242,0.57575758,0.64528000,0.68292000,0.48227273
3B,100,SimPO,123,0.83800000,0.82750405,0.69399551,0.48407643,0.41758242,0.57575758,0.64584000,0.68680000,0.47181818
3B,100,SimPO,1337,0.83200000,0.82265000,0.68750000,0.47500000,0.41758242,0.55072464,0.64262000,0.66944000,0.40710145
3B,100,SimPO,2024,0.82800000,0.81738802,0.67677922,0.45569620,0.39560440,0.53731343,0.64000000,0.67454000,0.43074627
3B,100,ORPO,7,0.83600000,0.82380486,0.68530288,0.46753247,0.39560440,0.57142857,0.65074000,0.67994000,0.42285714
3B,100,ORPO,42,0.83800000,0.82849824,0.69712606,0.49056604,0.42857143,0.57352941,0.65360000,0.67594000,0.40147059
3B,100,ORPO,123,0.84000000,0.82913112,0.69619638,0.48717949,0.41758242,0.58461538,0.64412000,0.68994000,0.48307692
