
Metrics : Accuracy, Turn-F1, Trajectory-F1, Post-Clarification F1.


Size   Conv  Method           Acc               TurnF1            TrajF1            PostF1
----   ----  -----------  ---------------   ---------------   ---------------   ---------------
0.5B   100   Dyn-Beta     79.00+/-0.41  56.56+/-0.83     61.26+/-0.47     49.62+/-3.34
0.5B   100   Beta-Filt    80.20+/-0.51  55.49+/-0.55     62.17+/-0.97     48.82+/-2.59
0.5B   100   UC-ACT       81.20+/-0.64  55.86+/-0.59     61.79+/-0.70     45.41+/-4.11
0.5B   100   IPO          78.60+/-0.92  55.66+/-0.55     62.67+/-0.76     49.40+/-1.76
0.5B   100   SimPO        78.60+/-0.68  55.94+/-0.55     61.32+/-0.37     45.67+/-1.91
0.5B   100   ORPO         80.40+/-0.54  55.02+/-0.39     61.12+/-0.21     44.42+/-2.90

0.5B   150   SFT          76.20+/-1.17  33.12+/-0.94     35.11+/-0.55      6.96+/-2.30
0.5B   150   Vanilla-DPO  80.20+/-0.73  57.23+/-0.73     61.49+/-0.74     34.61+/-4.59
0.5B   150   Dyn-Beta     80.60+/-0.38  57.50+/-0.37     63.11+/-0.95     37.60+/-4.26
0.5B   150   Beta-Filt    81.40+/-0.60  58.31+/-0.39     61.98+/-0.36     34.28+/-2.51
0.5B   150   UC-ACT       80.60+/-0.58  57.58+/-0.54     62.11+/-0.60     34.94+/-3.35
0.5B   150   IPO          79.80+/-0.50  58.00+/-0.51     62.00+/-0.68     38.40+/-2.61
0.5B   150   SimPO        79.80+/-1.06  58.05+/-0.36     61.75+/-1.28     36.61+/-5.69
0.5B   150   ORPO         80.80+/-0.71  56.56+/-0.59     61.85+/-0.96     41.66+/-4.12

1.5B   50    SFT          78.80+/-0.84  42.43+/-0.83     46.69+/-0.60     10.28+/-3.68
1.5B   50    Vanilla-DPO  78.20+/-0.73  57.16+/-0.68     62.49+/-0.37     36.64+/-1.75
1.5B   50    Dyn-Beta     78.60+/-0.64  58.64+/-0.51     63.49+/-1.14     38.15+/-2.77
1.5B   50    Beta-Filt    78.60+/-0.71  58.70+/-0.54     63.39+/-0.63     41.26+/-2.25
1.5B   50    UC-ACT       79.00+/-0.51  58.97+/-0.52     63.62+/-0.75     41.13+/-1.68
1.5B   50    IPO          77.60+/-0.99  58.10+/-0.49     62.24+/-0.63     36.04+/-1.42
1.5B   50    SimPO        78.00+/-0.66  58.90+/-0.89     62.30+/-0.47     42.39+/-2.22
1.5B   50    ORPO         77.60+/-0.86  58.27+/-0.63     63.01+/-0.71     42.32+/-2.87

1.5B   100   SFT          79.20+/-1.27  42.07+/-0.98     48.31+/-1.34     12.47+/-1.22
1.5B   100   Vanilla-DPO  81.20+/-0.93  60.77+/-0.38     65.97+/-0.33     50.51+/-1.67
1.5B   100   Dyn-Beta     81.20+/-0.81  61.27+/-0.39     65.44+/-0.74     49.67+/-2.96
1.5B   100   Beta-Filt    79.60+/-0.73  59.41+/-0.68     65.72+/-0.93     45.63+/-1.39
1.5B   100   UC-ACT       81.20+/-0.82  61.16+/-0.47     66.65+/-0.40     52.15+/-4.17
1.5B   100   IPO          81.00+/-0.52  59.26+/-0.95     66.02+/-0.82     50.71+/-5.11
1.5B   100   SimPO        80.60+/-0.86  60.04+/-0.50     65.08+/-0.58     45.70+/-1.54
1.5B   100   ORPO         80.40+/-0.46  60.31+/-0.37     65.98+/-0.43     51.41+/-2.43

1.5B   150   SFT          78.40+/-0.84  43.73+/-0.79     46.72+/-0.52      7.70+/-3.76
1.5B   150   Vanilla-DPO  80.00+/-0.99  62.21+/-0.28     67.43+/-0.69     48.51+/-3.13
1.5B   150   Dyn-Beta     83.00+/-0.74  62.75+/-0.54     68.10+/-0.85     53.48+/-3.70
1.5B   150   Beta-Filt    81.40+/-1.50  62.66+/-0.77     67.41+/-0.63     51.79+/-2.81
1.5B   150   UC-ACT       82.60+/-0.89  62.57+/-0.38     68.46+/-1.36     53.55+/-7.82
1.5B   150   IPO          80.00+/-1.03  61.67+/-0.42     67.89+/-0.78     48.75+/-3.36
1.5B   150   SimPO        81.40+/-0.62  61.51+/-0.81     67.88+/-0.67     51.47+/-5.96
1.5B   150   ORPO         80.20+/-1.08  62.51+/-0.44     67.09+/-0.62     41.76+/-4.38

3B     50    SFT          78.60+/-0.67  37.63+/-0.34     36.10+/-0.48      5.07+/-1.01
3B     50    Vanilla-DPO  78.00+/-1.19  59.81+/-0.26     62.79+/-0.46     31.42+/-2.20
3B     50    Dyn-Beta     78.80+/-0.48  59.96+/-0.36     63.52+/-0.55     33.42+/-2.64
3B     50    Beta-Filt    78.20+/-0.75  58.58+/-0.19     64.15+/-0.61     36.86+/-2.05
