Model_Size,Method,Conversation_Setting,Run,Accuracy,Weighted_F1,Macro_F1,Binary_F1,Binary_Recall,Binary_Precision,Turn_Level_SBERT,Trajectory_SBERT,Post_Clarification_SBERT,Post_Clarification_Count
1.5B,ORPO,150,3,0.60769231,0.54576596,0.54576596,0.37804878,0.23846154,0.91176471,0.66232918,0.70142864,0.28631974,34
1.5B,ORPO,150,4,0.58846154,0.51867679,0.51867679,0.33540373,0.20769231,0.87096774,0.66342830,0.70747221,0.24113648,31
1.5B,ORPO,150,5,0.59230769,0.52479481,0.52479481,0.34567901,0.21538462,0.87500000,0.65941063,0.68882962,0.15455033,32
3B,SFT,50,1,0.52692308,0.39613663,0.39613663,0.11510791,0.06153846,0.88888889,0.68959089,0.74696673,0.15087714,9
3B,SFT,50,2,0.52307692,0.39398496,0.39398496,0.11428571,0.06153846,0.80000000,0.68673454,0.76274103,0.53530475,10
3B,SFT,50,3,0.53846154,0.41873463,0.41873463,0.15492958,0.08461538,0.91666667,0.68683131,0.75948230,0.38294327,12
3B,SFT,50,4,0.53846154,0.41873463,0.41873463,0.15492958,0.08461538,0.91666667,0.68803725,0.75060501,0.37779985,12
3B,SFT,50,5,0.53461538,0.41129138,0.41129138,0.14184397,0.07692308,0.90909091,0.68006675,0.76071081,0.42079630,11
3B,SFT,100,1,0.62692308,0.57740579,0.57740579,0.43274854,0.28461538,0.90243902,0.68441525,0.70373942,0.20747562,41
3B,SFT,100,2,0.60769231,0.55428571,0.55428571,0.40000000,0.26153846,0.85000000,0.67825279,0.70569147,0.26512260,40
3B,SFT,100,3,0.61153846,0.55997922,0.55997922,0.40935673,0.26923077,0.85365854,0.68067364,0.69381616,0.20133377,41
3B,SFT,100,4,0.62692308,0.57988373,0.57988373,0.43930636,0.29230769,0.88372093,0.67454908,0.70008998,0.26168059,43
3B,SFT,100,5,0.61153846,0.55997922,0.55997922,0.40935673,0.26923077,0.85365854,0.67125350,0.68710460,0.19242638,41
